288.14,67.66,94.4,92.1,3.2
292.68,27.96,-1.5,-1.4,3.2
220.63,-64.98,-191.8,-234.1,3.2
309.39,-47.29,50.9,65.7,3.2
133.85,5.95,-76.4,-8.1,3.2
155.58,41.50,-80.4,34.3,3.2
284.74,32.69,-2.8,1.7,3.2
72.46,6.96,462.9,11.8,3.2
87.74,-35.77,55.6,404.0,3.2
102.05,-61.94,-66.7,272.0,3.3
153.43,-70.04,-36.2,10.1,3.3
254.66,-55.99,-17.4,-35.4,3.3
140.26,34.39,-221.1,16.1,3.3
258.76,36.81,-28.5,3.2,3.3
274.41,-36.76,-131.2,-167.9,3.3
318.23,30.23,-1.4,-57.1,3.3
168.56,15.43,-58.7,-79.7,3.3
254.42,9.38,-293,-10.4,3.3
267.46,-37.04,45.5,29.6,3.3
354.84,77.63,-67.9,142.6,3.3
142.81,-57.03,-33.1,5.8,3.3
76.37,-22.37,21.5,-72.8,3.3
275.33,-2.90,-547.8,-700.8,3.3
230.67,-44.69,-17.9,-23.4,3.3
207.38,-41.69,-24.6,-20.5,3.4
258.04,-43.24,21.2,-288.5,3.4
240.03,-38.40,-16.5,-25.9,3.4
211.59,-26.68,43,-140.9,3.4
101.32,12.90,-115.4,-190.7,3.4
137.74,-58.97,-13.4,14.7,3.4
60.17,12.49,-8.3,-11.9,3.4
291.37,3.11,254.8,82.1,3.4
119.19,-52.98,-28.6,21.2,3.4
9.83,30.86,121,-85.3,3.4
67.17,15.87,108.8,-27.0,3.4
207.40,-42.47,-23.9,-18.9,3.4
112.31,-43.30,-60.1,188.9,3.4
269.76,-9.77,-9.3,-115.2,3.4
231.23,58.97,-8.1,16.2,3.4
63.61,-62.47,42,48.1,3.4
286.74,-27.67,-55.3,-251.9,3.4
311.24,-66.20,-42.2,10.1,3.4
276.74,-45.97,-17.8,-56.7,3.4
56.81,-74.24,51,114.7,3.4
117.32,-24.86,-5,-1.0,3.5
28.27,29.58,12,-234.9,3.5
226.02,-25.28,-72.6,-44.0,3.5
16.52,-46.72,-26.9,6.1,3.5
342.14,-51.32,108,-70.8,3.5
258.66,14.39,-17,47.0,3.5
213.92,19.19,-1093.4,-1999.4,3.5
131.69,6.42,-199.4,-53.2,3.5
266.61,27.72,-310.3,-750.3,3.5
228.07,-52.10,-113.1,-71.6,3.5
214.85,-46.06,-15.5,-5.6,3.5
149.22,-54.57,-13,1.4,3.5
253.08,-38.02,-11.6,-23.6,3.5
83.78,9.93,-2.1,-2.9,3.5
332.71,58.20,13,4.3,3.5
311.32,61.84,87.4,817.2,3.5
